,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,power_to_weight,num_cylinders,engine_size_per_cylinder,combined_mpg,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_gas,aspiration_turbo,num-of-doors_two,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_fwd,drive-wheels_rwd,engine-location_rear,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,num-of-cylinders_five,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_twelve,num-of-cylinders_two,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi
66,-0.7219941517220247,-0.14550252746588094,1.0276481060056921,0.0639766623783004,0.09818921174803895,0.2646256468944607,0.2848575529313997,0.1956257044160229,0.4206061399523433,1.2014588223653802,3.080136261797413,-0.8477223336680058,-1.9082711003831694,0.9818573970419816,1.3309223848713545,-1.437669260775483,-0.3440104580768906,0.956553713101036,1.1706012581587524,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
111,-0.7219941517220247,1.1556150673060392,1.529493945554292,1.0364014087442024,1.2135947086175876,1.1956881212370307,1.0248975948653096,-0.15400321411474163,0.5337298721144008,-3.351254153495692,-0.4378478708274632,-0.23546929717895965,-0.2844238606611821,-0.9961019603151292,-1.0211804480285664,-0.9845116294020272,-0.3440104580768906,0.24500525200650594,-1.0175226320918387,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
153,-0.7219941517220247,-1.386103024806549,-0.5113458019433472,-0.37652343640283603,-1.1142080674579826,2.167231572724927,-0.5439872940345796,-0.8532610511762707,-1.012294467433729,-0.7138204295485889,-0.28264268850577756,-1.1139193060545476,-0.6903856705916789,0.9818573970419816,1.0173086738180317,-1.381253887638909,-0.3440104580768906,-1.1780916701825541,1.008518007029079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
96,0.0791226467640575,-0.02446833260337674,-0.7120841377627876,-0.7422216316173618,-1.0172162851215028,0.30510662403979033,-1.1537802885881214,-0.7283935802724262,-0.635215360226868,0.10252810405408674,-0.17917256695798697,-0.9275814253839683,0.12153794926931474,0.9818573970419816,1.0173086738180317,-0.5436101053751666,-0.3440104580768906,-0.9239672197916505,1.008518007029079,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
38,-0.7219941517220247,-0.5086051120533935,-0.3775202447303878,-0.5593725340100989,-0.3382738087661259,-0.18066510170415945,-0.5262263330281657,-0.40373815592243056,-0.635215360226868,1.0130706992263012,-0.28264268850577756,-0.47504657232684727,1.3394233790608052,0.32253761125627806,0.3900812517113862,-0.2688432862761893,-0.3440104580768906,-0.2632436487753012,0.3601850025103852,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
24,0.0791226467640575,0.7622539340029005,-0.8459096949757471,-1.407127441098321,-1.0172162851215028,-1.273651484628042,-1.1616740490354165,-0.9032080395378085,-1.3139577531992164,-0.08586001908499226,-0.17917256695798697,-0.9542011226226225,0.73048066416506,0.9818573970419816,1.1741155293446932,-0.5904730726936942,-0.3440104580768906,-1.2797414503389155,1.0895596325939156,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
139,0.8802394452501398,-1.2045517325127926,-0.8459096949757471,-1.3572595053872496,-1.1142080674579826,-0.01874119312284093,-0.8597377119263812,-0.4536851442839684,1.1370564436453787,-1.9383432299526004,-0.36024527966662057,-0.8211026364293516,-1.5023092904526725,0.15770766480985213,0.07646754065806341,-0.6050989899266103,-0.3440104580768906,-0.36489342893166266,0.11706012581587512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
112,-0.7219941517220247,1.1556150673060392,1.529493945554292,1.0364014087442024,1.2135947086175876,1.1956881212370307,1.374196494658115,0.645148599669863,1.4387197294108676,0.8246825760872222,2.821460957927937,-0.23546929717895965,-2.0097615528657937,0.4873675577027039,0.3900812517113862,-1.1647520866719834,-0.3440104580768906,1.871401734508289,0.44122662807522195,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
29,1.681356243736222,0.6714782878560224,-0.4778894126401068,-0.08562714475491638,0.19518099408452233,-1.4355753932093578,0.503909405343837,0.7450425763929386,1.0616406222040065,2.0178073559680545,-0.7999932962447299,1.0955155647537493,-0.2844238606611821,-0.9961019603151292,-1.0211804480285664,1.2330999300899446,-0.3440104580768906,2.0747012948210117,-1.0175226320918387,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
19,0.0791226467640575,-0.7506735017784019,-0.7120841377627876,-1.5234859577574893,-1.1142080674579826,-0.706917804593436,-1.3452039794350261,-0.9032080395378085,-1.0877102888751013,-0.4626362653631503,-0.12743750618409191,-0.9009617281453141,0.5274997591998115,2.135667022166963,1.9581498069780001,-0.2921823034140119,-0.3440104580768906,-1.2797414503389155,2.062059139371956,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
